id,order_id,name,is_veg
1,1.27143E+11,Paratha Kuruma,1
2,1.27143E+11,Gobi Manchurian Dry,1
3,1.27077E+11,Amritsari Paneer Tikka Lasagne,1
4,1.26889E+11,Eggless Red Velvet Jar,1
5,1.25669E+11,SEV PURI,1
6,1.25669E+11,MASALA PURI,1
7,1.25302E+11,Sepangkizhangu Fries,1
8,1.24553E+11,Masala Kulcha,1
9,1.24553E+11,Onion Aloo Mixed Paratha,1
10,1.24553E+11,Mixed Vegetable Raita,1
11,1.21959E+11,Penne Arrabiata Pasta La Vista,1
12,1.21959E+11,Pind Di Daal Makhani with Jeera Rice,1
13,1.20314E+11,Alfredo,1
14,1.19285E+11,North Indian Value Combo Meals,1
15,1.18675E+11,Veg Zinger,1
16,1.18595E+11,Burnt Garlic Noodles + Chilli Corn (Serves 1),1
17,1.18595E+11,Chicken Fried Rice + Bbq Shredded Chicken Sauce,0
18,1.18595E+11,Burnt Garlic Chicken Rice + Chilly Shredded Chicken (Serves 1),0
19,1.18595E+11,Butter Chicken,0
20,1.18595E+11,Naan,1
21,1.18508E+11,Seven Taste Uttapam,1
22,1.18508E+11,Masala Kulcha,1
23,1.18508E+11,Phulka,1
24,1.18508E+11,Kadai Paneer,1
25,1.18508E+11,Ghee Paneer Masal Dosa,1
26,1.18508E+11,Sambar Idli,1
27,1.18167E+11,Pomegranate Juices,1
28,1.18167E+11,Mango Mastani,1
29,1.17183E+11,"Paneer Tikka Sub ( 15 cm, 6 Inch )",1
30,1.17183E+11,"Corn & Peas Sub ( 15 cm, 6 Inch )",1
31,1.1684E+11,Classic Mac & Cheese,1
32,1.1684E+11,Awadhi Paneer with Matar Pulao,1
33,1.1684E+11,Sprite Can (300 ml),1
34,1.1684E+11,Nawabi Paneer Lababdar Parotta Bowl,1
35,1.1684E+11,Triple Ripple Death by Chocolate,1
36,1.1684E+11,Paneer 65 with Chilli Garlic Fried Rice,1
37,1.16755E+11,Baked Veggie Pizza Wrap,1
38,1.16755E+11,Jumbo Paneer Chole Wrap,1
39,1.16755E+11,Rajma Masala Rice Bowl (Mini),1
